Original,Readable,Order
id,ID,1
full_text,FullText,2
display_text_range,DisplayRange,4
created_at,Date,11
source,Source,12
in_reply_to_status_id,ReplyID,20
in_reply_to_user_id,ReplyUserID,21
in_reply_to_screen_name,ReplyScreenName,22
is_quote_status,IsQuote,23
quoted_status_id,QuotedID,24
retweeted,Retweeted,13
favorited,Favorited,14
retweet_count,RetweetCount,15
favorite_count,FavoriteCount,16
possibly_sensitive,PossiblySensitive,25
user_id,UserID,5
user_name,UserName,6
user_screen_name,UserScreenName,7
user_friends,UserFriends,8
user_followers,UserFollowers,9
user_verified,UserVerified,10
hashtags,Hashtags,17
user_mentions,Mentions,18
urls,URLs,19
x_coordinate,X,32
y_coordinate,Y,33
place_id,LocationID,26
place_type,LocationType,27
place_name,LocationName,28
place_full_name,LocationFull,29
country,Country,30
country_code,CountryCode,31
clean_text,CleanText,3
